순위,국가,상금,선수 수
1, China,33593525.88,1571
2, United States,25348153.21,3050
3, Korea Republic of,10952692.63,882
4, Russian Federation,8711577.02,634
5, Brazil,8666555.72,1089
6, Germany,5561786.78,762
7, Thailand,5177850.91,625
8, Japan,4698744.13,588
9, United Kingdom,4631983.57,666
10, France,4472897.39,844
11, Denmark,4218554.58,242
12, Canada,3972438.88,497
13, Viet Nam,3757941.47,641
14, Sweden,3335381.1,290
15, Taiwan Republic of China,3044624.36,357
16, Indonesia,2871777.82,535
17, Ukraine,2733692.53,189
18, Australia,2642122.62,574
19, Poland,2560043.09,364
20, Philippines,2484541.43,362
21, Saudi Arabia,2476968.52,194
22, Peru,2210090.37,146
23, Israel,2064543.52,33
24, Malaysia,2047442.53,356
25, Slovakia,1978786.68,79
26, North Macedonia,1840050.27,28
27, Turkey,1632959.21,383
28, Netherlands,1594972.75,273
29, India,1594620.67,280
30, Spain,1375948.82,264
31, Finland,1360567.7,220
32, Norway,1254813.24,154
33, Argentina,1233810.57,283
34, Mexico,1076619.71,218
35, Estonia,1014630.53,45
36, Mongolia,724101.96,112
37, Serbia,712281.47,57
38, Iraq,700245.29,47
39, Czech Republic,695020.57,198
40, Italy,686708.58,198
41, Bulgaria,678650.63,64
42, Latvia,671231.03,36
43, Kyrgyzstan,665652.71,20
44, Portugal,621754.3,177
45, Kazakhstan,561835.13,63
46, Chile,553425.21,110
47, Jordan,511342.4,27
48, Romania,461217.07,124
49, Austria,421068.26,63
50, Belgium,396066.02,118
51, Singapore,374555.36,158
52, Pakistan,354148.42,93
53, Lithuania,342997.79,55
54, Nepal,334356.33,66
55, Belarus,321035.26,58
56, Georgia,303320.71,21
57, Greece,289802.54,64
58, Slovenia,265703.26,19
59, South Africa,260259.17,143
60, Switzerland,251242.23,132
61, Bosnia and Herzegovina,251196.26,15
62, Morocco,236984.23,40
63, Algeria,223875.46,21
64, Hong Kong,214717.17,115
65, Bolivia,212154.8,13
66, Hungary,201906.01,124
67, New Zealand,176413.52,56
68, Syrian Arab Republic,175858.69,22
69, Azerbaijan,173553.6,12
70, Lebanon,173034.32,27
71, Lao People's Democratic Republic,157903.97,14
72, Croatia,145600.06,47
73, Colombia,140394.6,50
74, Armenia,120944.6,10
75, Kuwait,108339.41,21
76, Ecuador,107604.77,12
77, United Arab Emirates,97784.93,31
78, Kosovo Republic of,90099.19,22
79, Dominican Republic,90033.98,29
80, Iran Islamic Republic of,84530,27
81, Egypt,74734.26,45
82, Uruguay,70409.01,22
83, Montenegro,67420,2
84, Bahrain,65550,7
85, Afghanistan,61987.5,3
86, Ireland,57243.76,50
87, Myanmar,56389.02,30
88, Cambodia,52599.95,67
89, Venezuela,52017.95,10
90, Cuba,51800,6
91, Uzbekistan,50293,16
92, Libyan Arab Jamahiriya,48166.71,6
93, Tunisia,35951.64,6
94, Costa Rica,24336.36,16
95, Albania,23888.68,13
96, Nicaragua,22666.29,7
97, Puerto Rico,22536.98,35
98, Paraguay,22142.64,8
99, Bangladesh,20560.71,20
100, Palestine State of,20451.2,6
101, Yemen,20058.34,5
102, Guatemala,16691.73,8
103, Moldova Republic of,15837.14,12
104, Nigeria,15666.71,6
105, Iceland,14794.07,28
106, Qatar,14322.61,18
107, Luxembourg,12610.03,8
108, Panama,10679.33,13
109, Macao,8797.38,2
110, Brunei Darussalam,6673.7,15
111, C척te D'Ivoire,4215,4
112, Honduras,4083.33,2
113, Zimbabwe,4060,
114, Oman,3387.98,3
115, Trinidad and Tobago,2803.13,3
116, Madagascar,2400,3
117, Malta,2216.85,2
118, Mozambique,2126,3
119, Sudan,1960,2
120, Jamaica,1854.17,2
121, Sri Lanka,1285.71,
122, Togo,1200,
123, Mauritius,1000,
124, El Salvador,828.13,2
125, Mauritania,759,
126, 횇land Islands,560,2
127, Guernsey,513.33,
128, Wallis And Futuna,500,
129, Aruba,499.17,3
130, Senegal,248.41,
131, Isle of Man,51,
132, New Caledonia,25,
133, Andorra,12,
134, Virgin Islands U.S.,12,
